"Shipment ID","carrier","origin_country","destination_dc","transport_mode","pre_alert_date","eta_pre_alert","actual_arrival","weight_kg","volume_cbm"
"SHP_0001","DHL","DE","NL_DC1","Road","1/3/2024","1/5/2024","1/6/2024","850","6.2"
"SHP_0002","Maersk","CN","NL_DC2","Sea","1/5/2024","1/20/2024","1/23/2024","1800","14.5"
"SHP_0003","FedEx","US","NL_DC1","Air","1/7/2024","1/9/2024","1/9/2024","420","3.1"
"SHP_0004","UPS","PL","NL_DC1","Road","1/10/2024","1/12/2024","1/11/2024","610","4.8"
"SHP_0005","Maersk","VN","NL_DC2","Sea","1/12/2024","1/28/2024","2/2/2024","1950","18.3"
"SHP_0006","DHL","DE","NL_DC2","Road","1/15/2024","1/17/2024","1/19/2024","730","5.5"
"SHP_0007","FedEx","US","NL_DC1","Air","1/18/2024","1/20/2024","1/22/2024","510","3.9"
"SHP_0008","UPS","PL","NL_DC2","Road","1/20/2024","1/22/2024","1/22/2024","680","4.6"
"SHP_0009","Maersk","CN","NL_DC1","Sea","1/22/2024","2/6/2024","2/10/2024","2100","19.1"
"SHP_0010","DHL","DE","NL_DC1","Road","1/25/2024","1/27/2024","1/26/2024","540","3.8"
